SiteVisit_ID,SiteID,Year,Month,Day,Species_Code,AGE,Errors,Removal_Passes,Pass1,Pass2,Pass3,Pass4,Pass5,Pass6,Pass7,Pass8,Pass9,MLE_loops,Total_Catch,Pop_Est,Capture_Prob,Pop_Est_VAR,Pop_Est_SE,Capture_Prob_VAR,Capture_Prob_SE,T-Value,Pop_Est_CI_Lower,Pop_Est_CI_Upper,Capture_Prob_CI_Lower,Capture_Prob_CI_Upper,Chi_Square,Current,UserCriteria,RunDateTime
1982-06-16_F_1F001,F_1F001,1982,6,16,BKT,All,Invalid Dataset,1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-16_F_1F002,F_1F002,1982,6,16,BKT,All,Invalid Dataset,1,26,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-24_F_1F006,F_1F006,1982,6,24,BKT,All,Invalid Dataset,1,29,NA,NA,NA,NA,NA,NA,NA,NA,0,29,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-24_F_1F007,F_1F007,1982,6,24,BKT,All,Invalid Dataset,1,59,NA,NA,NA,NA,NA,NA,NA,NA,0,59,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-24_F_1F008,F_1F008,1982,6,24,BKT,All,Invalid Dataset,1,84,NA,NA,NA,NA,NA,NA,NA,NA,0,84,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-28_F_1F003_1,F_1F003_1,1982,6,28,BKT,All,Invalid Dataset,1,70,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-28_F_1F004,F_1F004,1982,6,28,BKT,All,Invalid Dataset,1,58,NA,NA,NA,NA,NA,NA,NA,NA,0,58,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-28_F_1F005,F_1F005,1982,6,28,BKT,All,Invalid Dataset,1,40,NA,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-29_F_2F012,F_2F012,1982,6,29,BKT,All,Invalid Dataset,1,89,NA,NA,NA,NA,NA,NA,NA,NA,0,89,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-29_F_2F013,F_2F013,1982,6,29,BKT,All,Invalid Dataset,1,59,NA,NA,NA,NA,NA,NA,NA,NA,0,59,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-06-29_F_2F014,F_2F014,1982,6,29,BKT,All,Invalid Dataset,1,71,NA,NA,NA,NA,NA,NA,NA,NA,0,71,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-01_F_2F015,F_2F015,1982,7,1,BKT,All,Invalid Dataset,1,53,NA,NA,NA,NA,NA,NA,NA,NA,0,53,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-01_F_2F016,F_2F016,1982,7,1,BKT,All,Invalid Dataset,1,72,NA,NA,NA,NA,NA,NA,NA,NA,0,72,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-01_F_2F017,F_2F017,1982,7,1,BKT,All,Invalid Dataset,1,116,NA,NA,NA,NA,NA,NA,NA,NA,0,116,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-08_F_2F009,F_2F009,1982,7,8,BKT,All,Invalid Dataset,1,16,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-08_F_2F010,F_2F010,1982,7,8,BKT,All,Invalid Dataset,1,14,NA,NA,NA,NA,NA,NA,NA,NA,0,14,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-08_F_2F011,F_2F011,1982,7,8,BKT,All,Invalid Dataset,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-12_F_3F024,F_3F024,1982,7,12,BKT,All,Invalid Dataset,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-12_F_3F025,F_3F025,1982,7,12,BKT,All,Invalid Dataset,1,73,NA,NA,NA,NA,NA,NA,NA,NA,0,73,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-12_F_3F026,F_3F026,1982,7,12,BKT,All,Invalid Dataset,1,24,NA,NA,NA,NA,NA,NA,NA,NA,0,24,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-15_F_3F018,F_3F018,1982,7,15,BKT,All,Invalid Dataset,1,142,NA,NA,NA,NA,NA,NA,NA,NA,0,142,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-15_F_3F019,F_3F019,1982,7,15,BKT,All,Invalid Dataset,1,66,NA,NA,NA,NA,NA,NA,NA,NA,0,66,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-15_F_3F020,F_3F020,1982,7,15,BKT,All,Invalid Dataset,1,87,NA,NA,NA,NA,NA,NA,NA,NA,0,87,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-19_F_3F021,F_3F021,1982,7,19,BKT,All,Invalid Dataset,1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-19_F_3F022,F_3F022,1982,7,19,BKT,All,Invalid Dataset,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-07-19_F_3F023,F_3F023,1982,7,19,BKT,All,Invalid Dataset,1,75,NA,NA,NA,NA,NA,NA,NA,NA,0,75,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-17_F_1F030,F_1F030,1982,9,17,BKT,All,Invalid Dataset,1,69,NA,NA,NA,NA,NA,NA,NA,NA,0,69,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-17_F_1F031,F_1F031,1982,9,17,BKT,All,Invalid Dataset,1,141,NA,NA,NA,NA,NA,NA,NA,NA,0,141,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-23_F_2F032,F_2F032,1982,9,23,BKT,All,Invalid Dataset,1,9,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-23_F_2F033,F_2F033,1982,9,23,BKT,All,Invalid Dataset,1,10,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-23_F_2F034,F_2F034,1982,9,23,BKT,All,Invalid Dataset,1,35,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-24_F_2F035,F_2F035,1982,9,24,BKT,All,Invalid Dataset,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-24_F_2F036,F_2F036,1982,9,24,BKT,All,Invalid Dataset,1,18,NA,NA,NA,NA,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-24_F_2F037,F_2F037,1982,9,24,BKT,All,Invalid Dataset,1,23,NA,NA,NA,NA,NA,NA,NA,NA,0,23,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-29_F_2F038,F_2F038,1982,9,29,BKT,All,Invalid Dataset,1,26,NA,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
1982-09-29_F_2F039,F_2F039,1982,9,29,BKT,All,Invalid Dataset,1,62,NA,NA,NA,NA,NA,NA,NA,NA,0,62,NA,NA,NA,NA,NA,NA,1.960000038,NA,NA,NA,NA,NA,FALSE,NA,11/7/2012
