"SiteID","Site","SITEID_Legacy","SITEID_New","Site_Name","FISH_SiteType","AQIN_SiteType","STREAM","SHARED_SITE","SiteID2","OLD_AQIN_SITEID","InPark","HUC8","REACH_CODE","County","Quad_map","Watershed","Aspect_deg","Slope_deg","Elev_m","EstVError","Geol_form","Geol_category","Lat_n83","Lon_n83","UTMX_E","UTMY_N","UTMX_E_end","UTMY_N_end","UtmZone","Datum","EstHError","AccCategory","AccNotes","GPS_DATE","Notes","Location_Description","Lower_Tag_Tree","Upper_Tag_Tree","Access_From","ParkCode","LastEdit_by","LastEdit_date","LocationID","ModifiedDate","LastUpdate","MaxWidth_m","MaxDepth_m","Current_Year"
"1F001",1,"1F001","1F001","Land's Run","Inactive","Secondary","Land's Run","","","1F001",TRUE,"02070005",2070005001042,"Warren","Chester Gap","Gooney Run",198,9,362,10,5,16,38.82428791,-78.20328716,742790.9328,4300994.486,742870.0572,4301039.485,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","This is the lower fish site at the boundary.  We no longer electro-shock this due to low fish populations.  The fire road drains directly into Land's Run in numerous places upstream from this site.  The site is fairly evenly stair stepped and has 90% canopy cover.  (Sampled once.)","","","","","SHEN","","",NA,"","",3.052558184,0.263030291,FALSE
"1F003",2,"1F003","1F003","Piney River (Current site 1996-present)","Primary","Primary","Piney River","1L309","Y","1L309",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",67,19,379,10,NA,7,38.70301594,-78.26865877,737516.955,4287362.216,737893.9174,4287144.68,"17N","NAD83",NA,4,"Unknown","","Piney River (Current site 1996-present) with UVA ISCO sampler","","","","","SHEN","","",NA,"","",7.009848595,0.364732862,FALSE
"1F003_1",3,"1F003_1","1F003_1","Piney River (Old site 1983-93)","Inactive","Inactive","Piney River","1L309_1","Y","1L309_1",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",305,3,346,10,NA,NA,38.70154477,-78.26336244,737982.48,4287212.68,NA,NA,"17N","NAD83",NA,1,"Trimble-GPS-Dan-2","Pre-2000","Old site outside boundary.  Site moved inside bondary in 1996.","","","","","SHEN","","",NA,"","",8.020454407,0.5,FALSE
"1F004",4,"1F004","1F004","Piney River","Inactive",NA,"Piney River","","","",TRUE,"02080103",2080103000155,"Rappahannock","Thornton Gap","Piney River",172,8,375,10,NA,NA,38.70437616,-78.26963075,737427.9155,4287510.67,737327.9152,4287510.668,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",4,0.5,FALSE
"1F006",5,"1F006","1F006","Jeremy's Run","Inactive","Secondary","Jeremy's Run","","","1F006",TRUE,"02070005",2070005000215,"Page","Luray","Jeremys Run",334,0,285,10,3,6,38.71563275,-78.38143481,727668.3836,4288476.023,727762.884,4288443.525,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This site used to be the low fish site.  It is no longer sampled for fisheries.   After Hurricane Fran it is mostly a cobble run.  Not much other structure.  The sample we have from there pre-dates Fran and it only had a few pools in it then.  The site has about 70% canopy. It is still the VTSSS sampling site but is no longer a fish site.  (Sampled once.)","","","","","SHEN","","",NA,"","",4.664999962,0.5,FALSE
"1F007",6,"1F007","1F007","Jeremy's Run","Primary",NA,"Jeremy's Run","","","",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",88,4,315,10,NA,6,38.71212916,-78.37064837,728617.5126,4288114.042,728667.5128,4288114.042,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",5.528671265,0.37168628,FALSE
"1F008",7,"1F008","1F008","Jeremy's Run","Inactive",NA,"Jeremy's Run","","","",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",164,9,342,10,NA,NA,38.711589,-78.35927528,729608.2658,4288082.556,729664.8909,4288125.056,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",5.050000191,0.5,FALSE
"1F030",8,"1F030","1F030","Thornton River, N.F.","Primary","Secondary","Thornton River, N. Fork","","","1F030",TRUE,"02080103",2080103000975,"Rappahannock","Thornton Gap","North Fork Thornton River",215,8,352,10,3,19,38.69506642,-78.27935884,736612.5397,4286452.169,736525.1644,4286501.168,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","This is the lower fish site where the boundary crosses the stream.  It is a fairly low gradient section but has a good riffle in the middle of the reach.  There is about 90% tree canopy over the transect.  The substrate is made mostly of cobble size stones and large boulders.  (Sampled once.)","","","","","SHEN","","",NA,"","",8.155638695,0.386757612,FALSE
"1F031",9,"1F031","1F031","Thornton River, N.F.","Inactive",NA,"Thornton River, N. Fork","","","",TRUE,"02080103",2080103000975,"Rappahannock","Thornton Gap","North Fork Thornton River",204,8,359,10,NA,NA,38.6968622,-78.28296971,736292.5385,4286642.163,736185.5382,4286687.161,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",6.227272511,0.5,FALSE
"1F056",10,"1F056","1F056","Bolton Branch","Secondary","Secondary","Bolton Branch","","","1F056",TRUE,"02080103",2080103001780,"Rappahannock","Chester Gap","Hittles Mill Stream",89,5,354,10,2,16,38.80624886,-78.1543396,747103.3488,4299123.506,747013.4743,4299163.006,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","This site is located at the boundary about 1/4 mile above an apple orchard.  The whole drainage is well timbered and there are no human trails or roads save Skyline Drive at the very top of the watershed.  Oak mortality present but not a huge factor along the stream.  (Sampled once.)","","","","","SHEN","","",NA,"","",4.070290089,0.30970493,FALSE
"1F058",11,"1F058","1F058","Bolton Branch","Secondary",NA,"Bolton Branch","","","",TRUE,"02080103",2080103001780,"Rappahannock","Chester Gap","Hittles Mill Stream",149,21,402,10,NA,NA,38.80695791,-78.16144578,746483.7275,4299183.007,746386.2281,4299159.007,"17N","NAD83",0,1,"Trimble-GPS-Dan-1","Pre-2000","","","","","","SHEN","","",NA,"","",3.444333315,0.269008994,FALSE
"1F116",12,"1F116","1F116","Jeremy's Run","Inactive",NA,"Jeremy's Run","","","",TRUE,"02070005",2070005000215,"Page","Thornton Gap","Jeremys Run",165,14,384,10,NA,NA,38.71481643,-78.34306113,731007.8942,4288481.57,731054.5818,4288499.571,"17N","NAD83",0,1,"Trimble-GPS-Dan-2","Pre-2000","","","","","","SHEN","","",NA,"","",6.599999905,0.5,FALSE
