STAID,CLASS,AGGECOREGION,HYDRO_DISTURB_INDX,WR_REPORT_REMARKS,ADR_CITATION,SCREENING_COMMENTS
1451800,Ref,EastHghlnds,14,,2002 ADR,"mod ag, NEoA"
1539000,Ref,EastHghlnds,13,,2002 ADR,"mod ag & small towns in valley, forested hw, NEOA"
1547700,Ref,EastHghlnds,8,,2002 ADR,"mod ag in valley, forested hw, NEoA"
1557500,Ref,EastHghlnds,7,"Prior to Nov. 30, 1952, daily discharges were affected by Pulp and Paper Company diversion.",2002 ADR,"proximal urban, forested HW, NEoA"
1558098,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2009/pdfs/01558098.2009.pdf,"forested uplands & riparian, mod ag, lt develop, NEoA"
1564500,Ref,EastHghlnds,10,,2002 ADR,"mod ag, forested uplands, NEoA"
1566000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/01566000.2008.pdf,"ag & forest, lt develop, NEoA"
1567500,Ref,EastHghlnds,9,,2002 ADR,"mod ag in valley, forested uplands, NEoA"
1568000,Ref,EastHghlnds,9,,2002 ADR,"mod-hvy ag in valley, wooded uplands, NEoA"
1571184,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2008/pdfs/01571184.2008.pdf,"forest & lt develop, NEoA"
1572950,Ref,EastHghlnds,11,,http://wdr.water.usgs.gov/wy2008/pdfs/01572950.2008.pdf,"forest & ag, lt development, NEoA"
1594936,Ref,EastHghlnds,7,,2002 ADR,"some strip mine in basin, NEoA"
1594950,Ref,EastHghlnds,6,,http://wdr.water.usgs.gov/wy2009/pdfs/01594950.2009.pdf,"forested upands, mod ag & lt devlopment in basin, NEoA"
1596500,Ref,EastHghlnds,9,,2002 ADR,"ag & lt development, NEoA"
1597000,Ref,EastHghlnds,9,Small diversions above station by Baltimore and Ohio Railroad.,1981 ADR,"mostly forested basin, NEoA"
1601000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/01601000.2007.pdf,"mod ag, lt development, forested uplands, NEoA"
1603500,Ref,EastHghlnds,6,,1982 ADR,"some small ponds, NEoA"
1605500,Ref,EastHghlnds,7,,2002 ADR,"ag in valley, small towns upstrm, forested hw, NEoA"
1606000,Ref,EastHghlnds,9,,http://wdr.water.usgs.gov/wy2007/pdfs/01606000.2007.pdf,"mod ag, lt development, forested uplands, NEoA"
1606500,Ref,EastHghlnds,10,,2005 ADR,"mod ag, small ponds, forested hw, NEoA"
